target,fold,seed,logloss,mean,std
Q1,0,42,0.6725161750493571,0.5908299119646745,0.03408186499568888
Q1,1,42,0.5735648634649337,0.5908299119646745,0.03408186499568888
Q1,2,42,0.528647159634897,0.5908299119646745,0.03408186499568888
Q1,3,42,0.6042700024910326,0.5908299119646745,0.03408186499568888
Q1,4,42,0.5751513591831519,0.5908299119646745,0.03408186499568888
Q1,0,1234,0.5968965752198637,0.5908299119646745,0.03408186499568888
Q1,1,1234,0.5746352326217778,0.5908299119646745,0.03408186499568888
Q1,2,1234,0.6075672824444874,0.5908299119646745,0.03408186499568888
Q1,3,1234,0.5889303960134421,0.5908299119646745,0.03408186499568888
Q1,4,1234,0.586120073523801,0.5908299119646745,0.03408186499568888
Q1,0,9999,0.5269068229117229,0.5908299119646745,0.03408186499568888
Q1,1,9999,0.639415273949939,0.5908299119646745,0.03408186499568888
Q1,2,9999,0.5857234909092167,0.5908299119646745,0.03408186499568888
Q1,3,9999,0.6087427354566771,0.5908299119646745,0.03408186499568888
Q1,4,9999,0.5933612365958165,0.5908299119646745,0.03408186499568888
Q1,0,7,0.5970494326868101,0.5908299119646745,0.03408186499568888
Q1,1,7,0.4971775533743324,0.5908299119646745,0.03408186499568888
Q1,2,7,0.6598744407567054,0.5908299119646745,0.03408186499568888
Q1,3,7,0.6092514069082712,0.5908299119646745,0.03408186499568888
Q1,4,7,0.5907967260972529,0.5908299119646745,0.03408186499568888
Q1,0,314,0.5951118153068492,0.5908299119646745,0.03408186499568888
Q1,1,314,0.5924433513463817,0.5908299119646745,0.03408186499568888
Q1,2,314,0.5708558310363503,0.5908299119646745,0.03408186499568888
Q1,3,314,0.5857421484131772,0.5908299119646745,0.03408186499568888
Q1,4,314,0.6099964137206138,0.5908299119646745,0.03408186499568888
Q1,0,2025,0.57925369037136,0.5908299119646745,0.03408186499568888
Q1,1,2025,0.5694890355938071,0.5908299119646745,0.03408186499568888
Q1,2,2025,0.5818172650898432,0.5908299119646745,0.03408186499568888
Q1,3,2025,0.6606898236432638,0.5908299119646745,0.03408186499568888
Q1,4,2025,0.562899745125098,0.5908299119646745,0.03408186499568888
Q1,0,777,0.6186080045789287,0.5908299119646745,0.03408186499568888
Q1,1,777,0.555401046018444,0.5908299119646745,0.03408186499568888
Q1,2,777,0.6210768485054653,0.5908299119646745,0.03408186499568888
Q1,3,777,0.5869992169840752,0.5908299119646745,0.03408186499568888
Q1,4,777,0.5720644437364588,0.5908299119646745,0.03408186499568888
Q1,0,555,0.6067721905660814,0.5908299119646745,0.03408186499568888
Q1,1,555,0.5832987656105659,0.5908299119646745,0.03408186499568888
Q1,2,555,0.5525457121141211,0.5908299119646745,0.03408186499568888
Q1,3,555,0.6302866132417368,0.5908299119646745,0.03408186499568888
Q1,4,555,0.5812462782908668,0.5908299119646745,0.03408186499568888
Q2,0,42,0.5760078509487895,0.5797437479301609,0.03482170127308034
Q2,1,42,0.5587185384853858,0.5797437479301609,0.03482170127308034
Q2,2,42,0.561103097366993,0.5797437479301609,0.03482170127308034
Q2,3,42,0.5960340546295964,0.5797437479301609,0.03482170127308034
Q2,4,42,0.6331084320087677,0.5797437479301609,0.03482170127308034
Q2,0,1234,0.5497934956896023,0.5797437479301609,0.03482170127308034
Q2,1,1234,0.5594350478792333,0.5797437479301609,0.03482170127308034
Q2,2,1234,0.6456922373211639,0.5797437479301609,0.03482170127308034
Q2,3,1234,0.5477067571973734,0.5797437479301609,0.03482170127308034
Q2,4,1234,0.643744948395474,0.5797437479301609,0.03482170127308034
Q2,0,9999,0.5671838084379911,0.5797437479301609,0.03482170127308034
Q2,1,9999,0.5829268871759081,0.5797437479301609,0.03482170127308034
Q2,2,9999,0.5786736433957846,0.5797437479301609,0.03482170127308034
Q2,3,9999,0.6333362306899897,0.5797437479301609,0.03482170127308034
Q2,4,9999,0.5993643438137737,0.5797437479301609,0.03482170127308034
Q2,0,7,0.4747880313919817,0.5797437479301609,0.03482170127308034
Q2,1,7,0.5947013555654123,0.5797437479301609,0.03482170127308034
Q2,2,7,0.587715878412446,0.5797437479301609,0.03482170127308034
Q2,3,7,0.6379314926915383,0.5797437479301609,0.03482170127308034
Q2,4,7,0.5800773672593442,0.5797437479301609,0.03482170127308034
Q2,0,314,0.6073054550425909,0.5797437479301609,0.03482170127308034
Q2,1,314,0.6295470722780118,0.5797437479301609,0.03482170127308034
Q2,2,314,0.5559647895272063,0.5797437479301609,0.03482170127308034
Q2,3,314,0.5794967821077468,0.5797437479301609,0.03482170127308034
Q2,4,314,0.6094039089659812,0.5797437479301609,0.03482170127308034
Q2,0,2025,0.5891808684633929,0.5797437479301609,0.03482170127308034
Q2,1,2025,0.6003230291904458,0.5797437479301609,0.03482170127308034
